Player,Slots,BJ,Craps,Bac,Bingo,Poker,Other,Total Spend,Gender,Age
Player 1,1013.0,6190.0,4276.0,868.0,0.0,0.0,0.0,12348.0,Female,58.0
Player 2,68.0,23.0,23.0,12.0,0.0,28.0,53.0,207.0,Male,55.0
Player 3,148.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,Female,34.0
Player 4,63.0,17.0,28.0,9.0,0.0,23.0,52.0,193.0,Male,21.0
Player 5,92.0,44.0,18.0,10.0,0.0,26.0,60.0,250.0,Female,68.0
Player 6,658.0,0.0,0.0,0.0,106.0,0.0,0.0,764.0,Female,59.0
Player 7,358.0,359.0,172.0,103.0,0.0,258.0,422.0,1671.0,Female,50.0
Player 8,139.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,Male,72.0
Player 9,673.0,279.0,103.0,103.0,0.0,161.0,546.0,1866.0,Female,31.0
Player 10,65.0,15.0,10.0,12.0,0.0,26.0,69.0,196.0,Male,55.0
Player 11,59.0,39.0,35.0,7.0,0.0,18.0,52.0,209.0,Male,44.0
Player 12,0.0,0.0,565.0,0.0,0.0,0.0,0.0,565.0,Female,29.0
Player 13,75.0,39.0,24.0,5.0,0.0,10.0,48.0,202.0,Female,31.0
Player 14,769.0,290.0,241.0,101.0,0.0,284.0,496.0,2181.0,Male,44.0
Player 15,0.0,0.0,0.0,0.0,0.0,508.0,0.0,508.0,Male,59.0
Player 16,855.0,199.0,193.0,103.0,0.0,251.0,677.0,2279.0,Male,40.0
Player 17,0.0,0.0,0.0,0.0,0.0,0.0,541.0,541.0,Male,48.0
Player 18,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,Male,35.0
Player 19,1040.0,287.0,142.0,77.0,0.0,300.0,138.0,1985.0,Female,31.0
Player 20,531.0,350.0,243.0,110.0,0.0,241.0,580.0,2056.0,Female,50.0
Player 21,67.0,43.0,19.0,15.0,0.0,16.0,52.0,211.0,Female,43.0
Player 22,768.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,Male,28.0
Player 23,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,Male,49.0
Player 24,0.0,430.0,0.0,0.0,0.0,0.0,0.0,430.0,Female,40.0
Player 25,70.0,37.0,23.0,11.0,0.0,33.0,68.0,241.0,Male,79.0
Player 26,322.0,0.0,0.0,0.0,117.0,0.0,0.0,439.0,Male,26.0
Player 27,86.0,30.0,12.0,8.0,0.0,14.0,61.0,212.0,Male,59.0
Player 28,692.0,260.0,210.0,110.0,0.0,163.0,572.0,2007.0,Male,59.0
Player 29,0.0,0.0,0.0,620.0,0.0,0.0,0.0,620.0,Male,60.0
Player 30,516.0,0.0,0.0,0.0,85.0,0.0,0.0,601.0,Female,46.0
Player 31,577.0,236.0,186.0,74.0,0.0,139.0,634.0,1845.0,Female,68.0
Player 32,121.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,Female,26.0
Player 33,608.0,133.0,207.0,44.0,0.0,213.0,393.0,1599.0,Female,45.0
Player 34,0.0,0.0,0.0,0.0,0.0,0.0,598.0,598.0,Female,50.0
Player 35,0.0,0.0,0.0,0.0,0.0,0.0,594.0,594.0,Male,38.0
Player 36,0.0,0.0,0.0,0.0,0.0,0.0,528.0,528.0,Male,40.0
Player 37,0.0,516.0,0.0,0.0,0.0,0.0,0.0,516.0,Male,44.0
Player 38,39.0,33.0,23.0,8.0,0.0,18.0,53.0,174.0,Male,41.0
Player 39,590.0,0.0,0.0,0.0,54.0,0.0,0.0,643.0,Male,41.0
Player 40,60.0,27.0,22.0,10.0,0.0,9.0,41.0,169.0,Female,31.0
Player 41,27.0,32.0,23.0,12.0,0.0,20.0,73.0,187.0,Female,36.0
Player 42,84.0,29.0,17.0,6.0,0.0,21.0,58.0,216.0,Male,51.0
Player 43,263.0,218.0,189.0,69.0,0.0,226.0,285.0,1251.0,Female,41.0
Player 44,941.0,3723.0,3957.0,1317.0,0.0,0.0,0.0,9938.0,Female,26.0
Player 45,0.0,496.0,0.0,0.0,0.0,0.0,0.0,496.0,Female,45.0
Player 46,42.0,45.0,23.0,6.0,0.0,22.0,47.0,186.0,Female,57.0
Player 47,98.0,22.0,16.0,3.0,0.0,20.0,57.0,217.0,Male,36.0
Player 48,1011.0,270.0,310.0,87.0,0.0,148.0,343.0,2170.0,Male,30.0
Player 49,89.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,Male,62.0
Player 50,99.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,Male,50.0
Player 51,0.0,418.0,0.0,0.0,0.0,0.0,0.0,418.0,Female,53.0
Player 52,960.0,301.0,146.0,67.0,0.0,165.0,832.0,2470.0,Male,31.0
Player 53,669.0,449.0,243.0,150.0,0.0,246.0,451.0,2208.0,Male,67.0
